Tf idf,Markov,Euclidean,Manhattan,Jaccard,Space_NewLine,BraceSimilarity,CommentSimilarity,CodeStyleSimilarity,LCS_score,Veredict
0.9939,1,0.022809896167307983,0.032258065,0.9047619047619048,0.9358974358974359,0.3333333333333333,0.21428571428571427,0.4945054945054945,0.9838709677419355,1
0.9989,1,0.008318903,0.011764705882352941,0.9393939393939394,0.9952380952380953,0.13333333333333333,0.17647058823529413,0.4350140056022409,0.9941176470588236,1
0.9956,0.2987,0.018976124,0.10130608253415863,0.72,0.3950762016412661,0.045,0,0.14669206721375536,0.6270627062706271,1
0.9989,1,0.009869235,0.034188034,0.7391304347826086,0.9980119284294234,0.064516129,1,0.6875093524872272,0.9829059829059829,1
1,0.9946,0.001357144,0.00253526,1,0.693661972,0.076388889,0.14285714285714285,0.3043026678590059,1,1
0.9469,0.4592,0.071365875,0.3035593438646838,0.5666666666666667,0.703448276,0.3333333333333333,0.125,0.3872605363984674,0.7777777777777778,0
0.8675,0.8144,0.10539086831800491,0.4147037472079027,0.5862068965517241,0.7016129032258065,0.5,0.066666667,0.4227598566308244,0.8679245283018868,0
0.9887,0.4639,0.031539654,0.10108900411857316,0.9069767441860465,0.22085201793721976,0.090702948,0.16666666666666666,0.1594072108165638,0.7785714285714286,0
0.9799,0.3375,0.046998005,0.25122393366130275,0.5,0.2919621749408984,0.083333333,0.020408163,0.13190122384651262,0.40987124463519314,0
0.9963,0.3388,0.018478345419853447,0.097389505,0.66,0.8667763157894737,0.048780488,1,0.6385189345314506,0.7761904761904762,0
