Tf idf,Markov,Euclidean,Manhattan,Jaccard,Space_NewLine,BraceSimilarity,CommentSimilarity,CodeStyleSimilarity,LCS_Score,LevenshteinScore,Veredict
0.9723,0.3289,0.05643699564962726,0.209727954405383,0.7948717948717948,0.036662452591656125,0.11904761904761904,0.07142857142857142,0.07571288102261553,0.6737089201877934,0.7511737089201878,1
0.9636,0.2745,0.0648791858300005,0.26840369380474877,0.5957446808510638,0.03878667329686725,0.10526315789473684,0.1,0.0813499437305347,0.7045951859956237,0.6214442013129103,1
0.9665,0.287,0.060691770990171964,0.2169955217119889,0.8378378378378378,0.03308641975308646,0.1,0.14285714285714285,0.09198118753674311,0.7864321608040201,0.7713567839195979,1
1.0,1.0,0.0,0.0,1.0,1.0,0.09090909090909091,1.0,0.6969696969696969,1.0,0.0,1
0.9968,0.5914,0.016945254940145822,0.07499060124728545,0.8780487804878049,0.529262086513995,0.08152173913043478,0.07142857142857142,0.22740413235766707,0.8996282527881041,0.26394052044609667,1
0.9964,0.2624,0.017423291010874038,0.06992909041484648,0.8947368421052632,0.23101777059773831,0.125,1.0,0.45200592353257946,0.8532110091743119,0.18960244648318042,1
0.9989,0.4772,0.010654638762443977,0.038161800528060064,0.9696969696969697,0.21690590111642738,0.125,1.0,0.44730196703880915,0.9368191721132898,0.1786492374727669,1
0.9919,0.3906,0.025536918199834106,0.12124458582473996,0.8333333333333334,0.18451400329489287,0.08333333333333333,0.1,0.1226157788760754,0.8226299694189603,0.41896024464831805,1
0.9861,0.6066,0.03329994650669755,0.1354794221364105,0.9230769230769231,0.5264623955431755,0.09090909090909091,1.0,0.5391238288174222,0.6361607142857143,0.4419642857142857,1
0.9935,0.3161,0.02879519448973711,0.11817181269881907,0.8888888888888888,0.35370823145884267,0.011164274322169059,0.0136986301369863,0.12619037863933266,0.9004739336492891,1.132701421800948,1
0.9979,0.4914,0.014134742526710096,0.06612948883988726,0.8222222222222222,0.965287049399199,0.09523809523809523,1.0,0.6868417148790981,0.7896174863387978,0.32786885245901637,1
0.9949,0.1988,0.022641782430559743,0.10594951789151319,0.813953488372093,0.7536382536382537,0.06349206349206349,0.25,0.35571010571010575,0.7423469387755102,0.34183673469387754,1
0.994,0.3067,0.026326494045095034,0.09877522391261152,0.9393939393939394,0.6071428571428572,0.10416666666666667,1.0,0.570436507936508,0.7262773722627737,0.33394160583941607,1
0.9946,0.6412,0.024018485574099375,0.09478894020529811,0.9767441860465116,0.8502604166666666,0.05555555555555555,1.0,0.6352719907407408,1.0,0.27607361963190186,1
0.963,0.3918,0.06552950636356321,0.2524292084823766,0.7692307692307693,0.5997383911052976,0.04029692470837752,0.08490566037735849,0.24164699206367787,0.7768361581920904,1.0,1
1.0,1.0,0.0,0.0,1.0,0.996,0.06896551724137931,1.0,0.6883218390804599,1.0,0.0,1
0.9959,0.53,0.02005299213900342,0.09005169266192847,0.8823529411764706,0.18518518518518523,0.125,1.0,0.4367283950617284,0.7430167597765364,0.2877094972067039,1
0.9954,0.5136,0.020669237781561836,0.08780023164820473,0.8571428571428571,0.08067542213883683,0.11764705882352941,1.0,0.3994408269874554,0.5593607305936074,0.4931506849315068,1
0.999,0.5651,0.009431305142563136,0.037827135812925364,1.0,0.8333333333333334,0.2,1.0,0.6777777777777777,0.8463949843260188,0.20689655172413793,1
0.9973,0.4732,0.017965182950714472,0.08402132143830156,0.8571428571428571,0.5425824175824177,0.09523809523809523,0.024390243902439025,0.22073691890765065,0.5492227979274611,0.6217616580310881,1
0.9974,0.2446,0.01932871502193571,0.07498432333330193,0.90625,0.23670212765957444,0.3333333333333333,0.5,0.3566784869976359,0.9745454545454545,0.2109090909090909,1
0.9843,0.1953,0.044250773576967085,0.14456869108616324,0.8787878787878788,0.19759036144578312,0.2,1.0,0.46586345381526106,0.7468354430379747,0.41139240506329117,1
0.9973,0.593,0.019604192040872027,0.07090097086385604,0.9666666666666667,0.27301587301587305,0.16666666666666666,1.0,0.47989417989418,0.9302325581395349,0.2026578073089701,1
1.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,0.7777777777777777,1.0,0.0,1
0.9973,0.2664,0.018834934275383516,0.0613776093955335,0.90625,0.7551020408163265,0.14285714285714285,1.0,0.6326530612244897,0.9240506329113924,0.14556962025316456,1
0.9973,0.2654,0.019578587324669817,0.06331615874538421,0.90625,0.8,0.14285714285714285,1.0,0.6476190476190476,0.8934169278996865,0.19435736677115986,1
1.0,1.0,0.0,0.0,1.0,1.0,0.2,1.0,0.7333333333333334,1.0,0.0,1
1.0,1.0,0.0,0.0,1.0,1.0,0.07692307692307693,1.0,0.6923076923076922,1.0,0.0,1
0.9989,0.9964,0.010243277255377952,0.037115053960606485,1.0,0.9695024077046549,0.25,1.0,0.7398341359015516,1.0,0.07932011331444759,1
0.9917,0.3241,0.03055776565046706,0.1510203297075451,0.7272727272727273,0.3964646464646465,0.09090909090909091,0.1111111111111111,0.1994949494949495,0.672972972972973,0.47297297297297297,1
